SCCM  Extraction Rate  sigE  Extraction at 3cm  sigE3  vApR  vApSigR  vPostR  vPostSigR  vApZ  vApSigZ  vPostZ  vPostSigZ  AngleAp  AnglePost
2   0.022 .0047   0.001 .0010   15.3    7.7     3.6     1.6     34.7    9.5     53.5    11.5    24.9   7.7
5   0.084 .0092   0.004 .0020   17.1    9.4     4.3     2.0     42.4    9.6     66.4    8.4     22.8   7.5
10  0.211 .0145   0.019 .0044   17.4    9.1     4.9     2.2     48.9    10.5    83.6    9.1     20.2   6.7
20  0.429 .0207   0.046 .0068   18.1    9.4     5.7     2.5     56.1    11.1    102.0   9.3     18.4   6.4
50  0.632 .0251   0.092 .0096   19.4    9.8     7.0     3.0     64.1    10.9    127.7   8.2     17.2   6.3
100 0.841 .0290   0.113 .0106   19.8    10.2    8.3     3.3     74.1    11.4    148.8   7.7     15.2   6.4
200 0.874 .0296   0.103 .0101   21.0    10.7    9.6     3.9     93.3    14.1    178.3   8.3     12.9   6.1
