0.119  2.12  3.77  0.081  0.009  38.332  17.891  98.665  14.397  42.567  34.737  18.793  0.864  0.604  21.33  20.61  11.725
0.119  15.65  27.799  0.391  0.015  44.479  21.025  144.245  17.579  34.597  22.972  12.861  1.783  1.14  157.25  16.749  9.865
0.119  4.96  8.81  0.192  0.012  37.362  17.826  121.63  17.335  34.258  25.307  14.152  1.355  1.026  49.84  16.73  9.444
0.119  1.77  3.141  0.081  0.009  38.332  17.891  98.665  14.397  42.567  34.737  18.793  0.864  0.604  17.77  20.61  11.725
0.119  14.41  25.591  0.391  0.015  44.479  21.025  144.245  17.579  34.597  22.972  12.861  1.783  1.14  144.76  16.749  9.865
0.119  4.79  8.505  0.192  0.012  37.362  17.826  121.63  17.335  34.258  25.307  14.152  1.355  1.026  48.11  16.73  9.444
0.119  7.81  13.881  0.269  0.014  40.54  20.389  135.175  19.69  33.913  24.708  14.977  1.566  1.178  78.52  17.436  8.691
0.119  32.53  57.788  0.492  0.016  53.892  23.852  154.82  15.079  38.624  23.214  11.302  1.48  1.332  326.9  17.632  10.963
0.119  28.02  49.772  0.471  0.016  52.475  21.836  151.68  14.899  38.377  23.228  11.249  1.487  1.291  281.55  16.48  10.733
0.119  74.66  132.632  0.499  0.016  68.235  28.076  157.105  16.299  47.349  26.707  12.229  1.662  2.464  750.28  20.452  13.746
0.119  1.77  3.141  0.081  0.009  38.332  17.891  98.665  14.397  42.567  34.737  18.793  0.864  0.604  17.77  20.61  11.725
0.119  14.41  25.591  0.391  0.015  44.479  21.025  144.245  17.579  34.597  22.972  12.861  1.783  1.14  144.76  16.749  9.865
0.119  4.79  8.505  0.192  0.012  37.362  17.826  121.63  17.335  34.258  25.307  14.152  1.355  1.026  48.11  16.73  9.444
0.119  7.81  13.881  0.269  0.014  40.54  20.389  135.175  19.69  33.913  24.708  14.977  1.566  1.178  78.52  17.436  8.691
0.119  32.53  57.788  0.492  0.016  53.892  23.852  154.82  15.079  38.624  23.214  11.302  1.48  1.332  326.9  17.632  10.963
0.119  28.02  49.772  0.471  0.016  52.475  21.836  151.68  14.899  38.377  23.228  11.249  1.487  1.291  281.55  16.48  10.733
0.119  74.66  132.632  0.499  0.016  68.235  28.076  157.105  16.299  47.349  26.707  12.229  1.662  2.464  750.28  20.452  13.746
0.119  1.77  3.141  0.081  0.009  38.332  17.891  98.665  14.397  42.567  34.737  18.793  0.864  0.604  17.77  20.61  11.725
0.119  1.77  3.141  0.081  0.009  38.332  17.891  98.665  14.397  42.567  34.737  18.793  0.864  0.604  17.77  20.61  11.725
0.119  14.41  25.591  0.391  0.015  44.479  21.025  144.245  17.579  34.597  22.972  12.861  1.783  1.14  144.76  16.749  9.865
0.119  4.79  8.505  0.192  0.012  37.362  17.826  121.63  17.335  34.258  25.307  14.152  1.355  1.026  48.11  16.73  9.444
0.119  7.81  13.881  0.269  0.014  40.54  20.389  135.175  19.69  33.913  24.708  14.977  1.566  1.178  78.52  17.436  8.691
0.119  32.53  57.788  0.492  0.016  53.892  23.852  154.82  15.079  38.624  23.214  11.302  1.48  1.332  326.9  17.632  10.963
0.119  28.02  49.772  0.471  0.016  52.475  21.836  151.68  14.899  38.377  23.228  11.249  1.487  1.291  281.55  16.48  10.733
0.119  74.66  132.632  0.499  0.016  68.235  28.076  157.105  16.299  47.349  26.707  12.229  1.662  2.464  750.28  20.452  13.746
