r (mm)   z (mm)   extraction (0=N/1=Y)   time (ms)
3.5 82.0 1 0.2268
4.5 71.0 0 nan
0.5 82.5 1 0.3769
5.5 67.0 0 nan
0.5 44.5 0 nan
4.0 82.5 0 nan
1.5 68.0 0 nan
2.5 65.5 1 1.7543
0.5 75.0 1 1.7321
3.0 86.5 0 nan
4.0 57.0 0 nan
5.0 72.0 0 nan
3.5 58.5 0 nan
2.0 45.0 0 nan
2.0 39.5 0 nan
1.5 40.0 0 nan
2.0 48.5 0 nan
1.0 60.5 0 nan
1.0 78.0 0 nan
0.5 73.5 1 1.128
5.0 71.5 0 nan
1.5 58.0 0 nan
5.0 60.0 0 nan
3.0 52.5 0 nan
5.5 69.5 0 nan
4.5 65.5 0 nan
3.0 87.5 1 0.084
2.5 61.0 0 nan
5.0 39.5 0 nan
4.5 58.5 0 nan
1.0 36.0 0 nan
4.0 46.5 0 nan
1.0 69.5 0 nan
5.5 86.5 0 nan
3.0 36.0 0 nan
0.5 80.5 0 nan
3.0 44.0 0 nan
1.5 53.5 0 nan
5.0 56.0 0 nan
1.5 51.5 1 2.7501
0.5 59.5 0 nan
4.5 38.5 0 nan
1.5 84.5 1 0.142
5.5 63.0 0 nan
1.5 82.5 1 0.1567
3.0 48.0 0 nan
2.0 82.0 1 0.4086
3.0 48.0 0 nan
1.5 69.0 1 1.6912
3.5 47.0 0 nan
4.5 85.0 0 nan
1.5 39.0 0 nan
4.0 58.5 0 nan
5.5 59.5 0 nan
3.0 76.5 0 nan
4.0 74.0 0 nan
3.5 43.5 0 nan
2.5 83.5 1 0.3452
5.5 76.0 0 nan
2.0 41.5 0 nan
1.0 42.5 0 nan
2.0 64.5 0 nan
2.0 81.0 0 nan
5.0 51.0 0 nan
5.5 63.5 1 2.1372
1.0 40.5 0 nan
1.5 74.5 1 0.9247
1.5 52.5 0 nan
5.5 73.0 0 nan
5.5 83.0 0 nan
5.0 54.0 0 nan
0.5 74.0 0 nan
3.0 87.0 0 nan
4.5 76.0 1 1.1154
4.5 72.5 0 nan
3.5 52.0 0 nan
0.5 42.5 0 nan
1.0 49.0 0 nan
2.5 46.5 0 nan
1.0 62.0 0 nan
2.5 55.5 0 nan
5.5 49.5 0 nan
3.0 43.0 0 nan
1.0 61.5 0 nan
4.0 58.0 0 nan
5.0 41.5 0 nan
5.0 58.0 0 nan
5.0 73.0 0 nan
5.0 87.0 0 nan
0.5 84.0 1 0.2495
1.0 56.0 0 nan
2.5 56.0 0 nan
4.5 70.0 1 2.5711
0.5 77.0 0 nan
0.5 72.5 1 1.1381
3.0 84.0 1 0.4742
4.0 75.5 0 nan
2.5 59.5 0 nan
5.0 64.5 0 nan
2.5 66.0 0 nan
5.0 56.5 0 nan
2.5 86.0 1 0.1372
2.0 78.0 0 nan
0.5 48.0 0 nan
4.5 47.5 0 nan
5.0 42.0 0 nan
4.0 39.0 0 nan
4.0 36.5 0 nan
0.5 67.0 0 nan
0.5 48.5 0 nan
5.5 41.0 0 nan
1.5 60.5 0 nan
5.5 41.5 0 nan
